CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
469626;Chandler Smith;Chandler;Smith;M;26;null;0;null;0;162.93999;87.54326;44804;CrossFit Sacrifice;01;;;;0;US;217.72417;156.48924;136.0776;278.95908;--;61;2:03;1:40;7:15;--;--;18:33
660204;Matt Mcleod;Matt;Mcleod;M;26;null;0;null;0;160.93999;82.10015;44805;CrossFit Crossaxed;01;;;;0;AU;186;140;111;220;--;72;1:56;1:20;6:54;--;--;--
196667;Hunter McIntyre;Hunter;McIntyre;M;30;null;0;null;0;187.42;92.98636;44942;Precision CrossFit;01;;;;0;US;--;--;--;--;--;--;--;--;--;--;--;--
8325;Nick Bloch;Nick;Bloch;M;33;null;0;null;0;185.42;95.25432;44948;CrossFit Fond du Lac;01;;;;0;US;247.20764;165.56108;142.88148;281.22705;--;50;2:20;1:59;6:58;17:23;1:00;17:30
682551;Ryan Sowder;Ryan;Sowder;M;25;null;0;null;0;162.93999;86.18248;44782;Ft. Wright CrossFit;01;;;;0;US;215.4562;147.4174;115.66596;263.99054;--;50;2:13;--;--;--;--;--
310970;Saxon Panchik;Saxon;Panchik;M;23;null;0;null;0;163.93999;83.91452;44969;CrossFit Cliffside;01;;;;0;US;208.65233;158.7572;131.54169;215.4562;--;62;2:17;1:33;7:18;--;0:52;19:12
93473;Josh Miller;Josh;Miller;M;30;null;0;null;0;163.93999;86.18248;44971;CrossFit Crash;01;;;;0;US;176.90088;147.4174;117.93392;--;--;64;2:06;1:39;6:53;--;--;19:00
1095623;Kila Kilaverave;Kila;Kilaverave;M;38;null;0;null;0;161.93999;69.853165;44975;CrossFit Port Moresby;01;;;;0;PG;--;--;--;--;--;--;--;--;--;--;--;--
111592;Connor Duddy;Connor;Duddy;M;26;null;0;null;0;164.93999;83.91452;44977;Solidarity CrossFit;01;;;;0;US;195.04456;151.95332;127.00576;226.796;--;--;--;--;--;--;--;--
43761;Ben Smith;Ben;Smith;M;29;null;0;null;0;165.93999;88.45044;44795;CrossFit Krypton;01;;;;0;US;217.72417;151.95332;136.0776;244.93968;520;76;2:25;1:51;7:19;16:17;0:58;20:20
