CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
270169;Pedro Bartolo;Pedro;Bartolo;M;32;PT;32;All;0;175;80;null;null;01;Europe South;Europe South;Europe South;ACT;0;PT;160;117;100;190;--;--;--;--;--;--;1:05;20:00
214391;Cory Gibson;Cory;Gibson;M;25;US;32;All;0;185.42;92.98636;null;null;01;South East;South East;South East;ACT;0;US;201.84843;161.02516;138.34557;249.4756;411;53;2:10;1:12;--;--;--;--
34149;Sul Min Choi;Sul Min;Choi;M;29;KR;32;All;0;174;83.91452;null;null;01;Asia;Asia;Asia;ACT;0;KR;185;135;105;220;--;30;5:00;3:07;--;30:00;--;21:00
107150;Haydn Wolfsbauer;Haydn;Wolfsbauer;M;31;AU;32;All;0;180;92;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;215;155;130;250;--;--;2:10;1:15;--;--;--;--
334567;Coty Bradburn;Coty;Bradburn;M;25;US;32;All;0;186.42;91.62559;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;208.65233;149.68536;127.00576;256.27948;--;44;2:20;1:27;8:56;--;--;21:35
527779;Pablo Haber;Pablo;Haber;M;23;AR;32;All;0;168;77.56423;null;null;01;South America;South America;South America;ACT;0;AR;235.86784;142.88148;117.93392;226.796;--;70;1:58;1:17;--;--;0:59;--
371085;André Houdet;André;Houdet;M;24;AE;32;All;0;182;88;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;--;--;--;--;--;--;--;--;--;--;--;--
458434;Hyungu Cho;Hyungu;Cho;M;30;KR;32;All;0;178;83;null;null;01;Asia;Asia;Asia;ACT;0;KR;--;--;--;--;--;--;--;--;--;--;--;--
21946;Adam Vinson;Adam;Vinson;M;30;US;32;All;0;165.93999;97.52228;null;null;01;South East;South East;South East;ACT;0;US;226.796;161.02516;129.27373;265.35132;406;50;2:25;1:36;8:28;17:24;--;--
465413;Eder Carrillo;Eder;Carrillo;M;22;MX;32;All;0;177;86;null;null;01;Central America;Central America;Central America;ACT;0;MX;181.4368;145.14944;113.398;215.4562;--;--;4:05;3:17;--;--;--;--
944180;Frederick Husson;Frederick;Husson;M;28;IT;32;All;0;177;87;null;null;01;Europe South;Europe South;Europe South;ACT;0;IT;--;--;--;--;--;--;--;--;--;--;--;--
227964;David James;David;James;M;24;AU;32;All;0;178;92;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;210;160;150;240;--;--;--;--;--;--;--;--
319616;Zachary Mosbarger;Zachary;Mosbarger;M;28;US;32;All;0;163.93999;83.91452;null;null;01;South East;South East;South East;ACT;0;US;192.7766;147.4174;120.20188;249.4756;--;--;2:32;2:04;7:36;--;--;--
443716;Justin Swart;Justin;Swart;M;27;ZA;32;All;0;175;85;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;186;140;107;205;413;33;2:30;1:40;7:17;--;0:58;19:18
127899;Antonio Reginaldo Silva;Antonio Reginaldo;Silva;M;33;BR;32;All;0;170;83;null;null;01;South America;South America;South America;ACT;0;BR;130;140;115;170;--;40;4:50;--;--;--;1:20;--
225262;Chris Killian;Chris;Killian;M;31;US;32;All;0;161.93999;83.91452;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;204.1164;151.95332;122.46984;226.796;--;65;2:15;--;--;--;--;--
979932;Manuel Gallegos;Manuel;Gallegos;M;25;MX;32;All;0;174;81;null;null;01;Central America;Central America;Central America;ACT;0;MX;192.7766;147.4174;111.13004;210.92029;--;--;3:00;--;--;--;1:02;--
96232;Aaron Osborne;Aaron;Osborne;M;30;AU;32;All;0;167;75;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;--;--;--;--;--;--;--;--;--;--;--;--
225707;Davide Arici;Davide;Arici;M;28;IT;32;All;0;180;92;null;null;01;Europe South;Europe South;Europe South;ACT;0;IT;--;--;--;--;--;--;--;--;--;--;--;--
4945;James Hobart;James;Hobart;M;32;US;32;All;0;162.93999;83.91452;null;null;01;North East;North East;North East;ACT;0;US;192.7766;147.4174;121.56266;229.06396;512;60;2:18;1:37;7:55;16:15;--;--
645445;Francisco Godinho;Francisco;Godinho;M;29;PT;32;All;0;177;85;null;null;01;Europe South;Europe South;Europe South;ACT;0;PT;--;--;--;--;--;--;--;--;--;--;--;--
294547;Kyle Montgomery;Kyle;Montgomery;M;23;US;32;All;0;187.42;92.98636;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;201.84843;151.95332;123.37702;219.99213;--;--;2:27;1:43;--;--;--;--
310227;Tom Lengyel;Tom;Lengyel;M;27;AU;32;All;0;169;74.84268;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;175;137;116;200;--;60;2:06;10:00;20:00;--;5:00;--
504209;Nicolás Bidarte;Nicolás;Bidarte;M;24;AR;32;All;0;174;84;null;null;01;South America;South America;South America;ACT;0;AR;200;150;125;210;--;70;2:22;1:24;--;--;--;--
1335146;Mariano Sanchez;Mariano;Sanchez;M;24;AR;32;All;0;174;86;null;null;01;South America;South America;South America;ACT;0;AR;--;--;--;--;--;--;--;--;--;--;--;--
21321;Hayden LaVanda;Hayden;LaVanda;M;25;AU;32;All;0;178;91;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;205;150;125;250;493;65;2:11;1:38;7:40;--;--;20:30
1251710;Alex Evans;Alex;Evans;M;25;AE;32;All;0;181;95;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;--;--;--;--;--;--;--;--;--;--;--;--
290604;Dane Smith;Dane;Smith;M;22;US;32;All;0;161.93999;79.3786;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;226.796;--;--;226.796;--;--;2:15;--;--;--;--;19:30
158916;Sebastián Arvizu;Sebastián;Arvizu;M;28;MX;32;All;0;172;82;null;null;01;Central America;Central America;Central America;ACT;0;MX;170.097;140.61353;106.594124;210.92029;--;65;2:13;--;--;--;1:10;19:50
269911;Jesse Burns;Jesse;Burns;M;21;AU;32;All;0;170;77;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;--;--;92.98636;199.58047;--;--;2:25;--;--;--;--;--
22729;Jonas Mueller;Jonas;Mueller;M;27;CH;32;All;0;170;78;null;null;01;Europe South;Europe South;Europe South;ACT;0;CH;200;145;115;240;442;71;2:02;1:20;6:55;14:50;0:54;17:30
497435;Alexander Johnson;Alexander;Johnson;M;25;US;32;All;0;187.42;92.07918;null;null;01;South East;South East;South East;ACT;0;US;197.31252;151.95332;120.20188;229.06396;--;--;2:24;1:29;--;--;--;18:58
140239;Andrew McGovern;Andrew;McGovern;M;29;US;32;All;0;162.93999;83.00734;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;206.38435;142.88148;113.398;226.796;339;--;2:17;1:36;--;23:33;--;20:21
391723;Miguel Garduno;Miguel;Garduno;M;25;MX;32;All;0;163;75.74986;null;null;01;Central America;Central America;Central America;ACT;0;MX;201.84843;151.95332;124.7378;226.796;--;55;2:32;2:43;8:31;--;1:28;24:33
110291;basel qatamesh;basel;qatamesh;M;29;PS;32;All;0;177;81;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;PS;196;130;104;230;--;50;3:00;--;--;--;--;25:00
244894;Rob Watt;Rob;Watt;M;27;AU;32;All;0;188;89.81122;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;180;115;--;210;--;--;3:19;1:57;7:30;--;--;--
32551;Adam Klink;Adam;Klink;M;28;US;32;All;0;185.42;99.79024;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;249.4756;136.0776;111.13004;260.8154;--;60;2:27;1:50;8:27;17:48;0:58;--
126717;Rodrigo Valenzuela;Rodrigo;Valenzuela;M;33;AR;32;All;0;163;77;null;null;01;South America;South America;South America;ACT;0;AR;220;154;121;225;--;70;2:00;1:35;7:51;18:27;1:09;23:00
1888;Mason Doherty;Mason;Doherty;M;27;AU;32;All;0;179;86;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;180;140;116;220;--;60;2:22;1:44;7:36;--;0:58;19:40
270893;Guillaume Magnouat;Guillaume;Magnouat;M;28;FR;32;All;0;181;88;null;null;01;Europe South;Europe South;Europe South;ACT;0;FR;--;--;--;--;--;--;--;--;--;--;--;--
263253;Sam Parkin;Sam;Parkin;M;26;KW;32;All;0;178;85.2753;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;KW;175;130;90;235;--;51;4:03;2:35;--;--;--;20:00
668769;Henry Sailes;Henry;Sailes;M;29;US;32;All;0;161.93999;80.73938;null;null;01;South East;South East;South East;ACT;0;US;219.99213;161.02516;129.27373;274.42316;425;80;1:49;1:15;7:00;19:17;0:45;22:34
16080;James Newbury;James;Newbury;M;27;AU;32;All;0;177;87;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;200;145;120;242;369;85;2:08;1:26;6:59;--;0:53;18:44
169360;Anderon Primo;Anderon;Primo;M;23;BR;32;All;0;180;92.98636;null;null;01;South America;South America;South America;ACT;0;BR;213.18825;161.02516;129.27373;247.20764;--;57;2:32;1:40;--;--;0:56;21:47
37329;Matthew Reilly;Matthew;Reilly;M;29;AU;32;All;0;187;99.79024;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;--;--;--;--;--;--;--;--;--;--;--;--
97374;Alain Davidson;Alain;Davidson;M;32;PA;32;All;0;181;92.98636;null;null;01;Central America;Central America;Central America;ACT;0;PA;204.1164;151.95332;127.00576;222.26009;--;--;--;--;--;--;--;--
319709;Josh Mabry;Josh;Mabry;M;29;US;32;All;0;160.93999;81.64656;null;null;01;South East;South East;South East;ACT;0;US;0.453592;0.453592;0.453592;0.453592;--;--;100:39;100:39;100:39;100:39;100:39;100:39
432926;Rubén Insua;Rubén;Insua;M;32;ES;32;All;0;167;72;null;null;01;Europe South;Europe South;Europe South;ACT;0;ES;190;--;110;240;--;73;2:06;--;6:44;--;--;16:00
316736;Eder Costa;Eder;Costa;M;33;BR;32;All;0;188;97.52228;null;null;01;South America;South America;South America;ACT;0;BR;150;90;80;160;--;--;--;--;--;--;--;--
924517;Marco Alejandro Dapkey;Marco Alejandro;Dapkey;M;25;US;32;All;0;185.42;90.7184;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;--;--;--;--;--;--;--;--;--;--;--;--
97382;Marc Ordeig;Marc;Ordeig;M;30;ES;32;All;0;176;86;null;null;01;Europe South;Europe South;Europe South;ACT;0;ES;170;1;105;200;--;--;--;--;--;--;--;--
106434;James Connew;James;Connew;M;29;NZ;32;All;0;177;86.63607;null;null;01;Australasia;Australasia;Australasia;ACT;0;NZ;170.097;136.0776;115.66596;201.84843;--;--;2:29;2:09;--;--;--;--
527127;Zach Brock;Zach;Brock;M;29;US;32;All;0;185.42;98.42947;null;null;01;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;222.26009;163.29312;120.20188;229.06396;--;--;2:22;--;--;--;--;--
1076146;Rob Schillaci;Rob;Schillaci;M;28;KW;32;All;0;177;90;null;null;01;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;KW;86.18248;152;120;115.66596;--;--;2:21;--;--;--;--;--
108180;Pedro Castro;Pedro;Castro;M;22;BR;32;All;0;175;85;null;null;01;South America;South America;South America;ACT;0;BR;183.70476;129.27373;106.594124;192.7766;--;60;3:30;--;--;--;1:01;--
111439;Cj Walker;Cj;Walker;M;31;AU;32;All;0;180;90;null;null;01;Australasia;Australasia;Australasia;ACT;0;AU;200;148;125;225;--;50;2:07;1:42;--;--;--;--
