CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
242149;Brenda Castro;Brenda;Castro;F;30;null;0;null;0;158.93999;62.595695;44639;CrossFit Tigran;02;;;;0;MX;145.14944;111.13004;90.7184;--;--;45;--;--;--;--;--;--
106380;Lara Erlank;Lara;Erlank;F;31;null;0;null;0;160.93999;70.30676;44640;Diablo CrossFit;02;;;;0;NA;115.66596;79.3786;61.23492;136.0776;439;48;3:13;2:13;--;--;--;20:32
246355;Vilija Teel;Vilija;Teel;F;43;null;0;null;0;160.93999;63.50288;44641;Patriot CrossFit;02;;;;0;LT;92.98636;65.77084;49.89512;138.34557;276;--;--;2:21;8:36;34:24;--;--
1299203;Maria Camila Quintero;Maria Camila;Quintero;F;23;null;0;null;0;155.93999;58.96696;44642;Faster CrossFit;02;;;;0;CO;--;--;--;--;--;--;--;--;--;--;--;--
1237131;Luaneth Alveo;Luaneth;Alveo;F;20;null;0;null;0;3.54;58.059776;44633;Reebok CrossFit PTY;02;;;;0;PA;--;--;--;--;--;--;--;--;--;--;--;--
670000;Dani Speegle;Dani;Speegle;F;25;null;0;null;0;160.93999;76.20345;44644;SUBU CrossFit;02;;;;0;US;133.80965;99.79024;92.98636;140.61353;312;30;3:30;2:10;--;--;--;--
56664;Heidi Choi;Heidi;Choi;F;33;null;0;null;0;158.93999;58.059776;44646;CrossFit Zest;02;;;;0;KR;104.326164;81.64656;70.30676;122.46984;--;35;2:54;--;--;--;1:08;--
37537;Alessandra Pichelli;Alessandra;Pichelli;F;33;null;0;null;0;160.93999;70.30676;44640;Diablo CrossFit;02;;;;0;IT;145.14944;111.13004;95.25432;181.4368;457;--;2:11;1:21;7:26;15:34;--;20:41
527011;Lisa Eble;Lisa;Eble;F;28;null;0;null;0;157.93999;65.77084;44648;CrossFit Jackhammer;02;;;;0;DE;119;100;80;155;--;--;--;--;--;--;--;--
103617;Carmen Bosmans;Carmen;Bosmans;F;30;null;0;null;0;160.93999;69.853165;44652;InnerFight CrossFit DXB;02;;;;0;BE;135;91;80;140;339;60;2:32;--;8:45;--;1:16;--
106129;Carrie Beamer;Carrie;Beamer;F;27;null;0;null;0;157.93999;61.23492;44653;CrossFit Iron Industry;02;;;;0;US;122.46984;99.79024;83.91452;147.4174;--;51;2:21;--;--;--;--;--
764556;Gabriela Migała;Gabriela;Migała;F;20;null;0;null;0;161.93999;72.12113;44654;CrossFit 72D;02;;;;0;PL;143;108;91;165;--;--;--;--;--;--;--;--
1111705;Sheena Miller;Sheena;Miller;F;36;null;0;null;0;163.93999;68.0388;44656;CrossFit TDS;02;;;;0;KE;110;67;52;130;250;12;6:10;--;--;--;1:19;--
635438;Simona Quintana;Simona;Quintana;F;23;null;0;null;0;160.93999;64.863655;44657;CrossFit El Camino;02;;;;0;CL;--;79.3786;--;--;--;--;3:02;--;--;--;--;19:25
1119795;Jessica Borg Ghigo;Jessica;Borg Ghigo;F;35;null;0;null;0;160.93999;69.853165;null;null;02;;;;0;MT;--;--;--;--;--;--;--;--;--;--;--;--
1203632;Alaa Hannora;Alaa;Hannora;F;32;null;0;null;0;155.93999;53.070263;44660;CrossFit Al Ain;02;;;;0;SY;115.66596;72.57472;49.89512;119.74829;--;14;--;--;--;--;--;--
1217058;Anastassia Psenitsnaja;Anastassia;Psenitsnaja;F;24;null;0;null;0;161.93999;68.945984;44661;Tallinn CrossFit;02;;;;0;EE;120;70;54;135;--;20;--;--;--;16:01;1:34;--
264512;Jamie Greene;Jamie;Greene;F;28;null;0;null;0;158.93999;61.23492;44663;CrossFit Yas;02;;;;0;NZ;--;--;--;--;--;--;--;--;--;--;--;--
331478;Jacky Schmitt;Jacky;Schmitt;F;25;null;0;null;0;159.93999;60.78133;44664;Reebok CrossFit Valens;02;;;;0;LU;110;80;65;125;--;--;6:45;--;--;--;--;--
390443;Alessia Joy Wälchli;Alessia Joy;Wälchli;F;25;null;0;null;0;160.93999;66.224434;null;null;02;;;;0;CH;--;100;81;--;--;--;--;--;--;--;--;--
