CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;Status;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
329428;Christee Bishop;Christee;Bishop;F;27;AU;32;All;0;158;60;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;--;--;--;--;--;--;--;--;--;--;--;--
855131;Nicole Pettel;Nicole;Pettel;F;26;IL;32;All;0;157.93999;70.30676;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;IL;151.95332;88.45044;--;170.097;--;--;--;--;--;--;--;--
470917;Nathalia Mencari;Nathalia;Mencari;F;24;BR;32;All;0;166;64;null;null;02;South America;South America;South America;ACT;0;BR;--;--;--;--;--;--;--;--;--;--;--;--
291518;Helen Harding;Helen;Harding;F;42;AU;32;All;0;156.93999;58.513367;null;null;02;Australasia;Australasia;Australasia;ACT;0;AU;112;88;73;152;--;55;2:19;--;--;--;--;--
13179;Paige Henry;Paige;Henry;F;28;US;32;All;0;158.93999;65.77084;null;null;02;Mid Atlantic;Mid Atlantic;Mid Atlantic;ACT;0;US;106.594124;90.7184;72.57472;147.4174;--;--;2:37;--;--;--;--;--
21240;Eliana Jimenez;Eliana;Jimenez;F;26;PA;32;All;0;165;65.77084;null;null;02;Central America;Central America;Central America;ACT;0;PA;113.398;88.45044;68.0388;133.80965;--;20;--;--;--;--;--;--
101492;Celestie Engelbrecht;Celestie;Engelbrecht;F;30;ZA;32;All;0;168;60.78133;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;ZA;140;100;80;150;--;--;2:13;--;--;--;--;--
251823;Callerina Natori;Callerina;Natori;F;28;US;32;All;0;163.93999;72.57472;null;null;02;South East;South East;South East;ACT;0;US;142.88148;106.594124;77.11064;165.56108;--;--;--;--;--;--;--;--
288819;Constanza Cabrera;Constanza;Cabrera;F;23;CL;32;All;0;160;64.863655;null;null;02;South America;South America;South America;ACT;0;CL;149.68536;106.140526;87.99685;149.68536;--;--;--;--;--;--;--;--
968237;Ekaterina Makarova;Ekaterina;Makarova;F;25;RU;32;All;0;175;71;null;null;02;Asia;Asia;Asia;ACT;0;RU;--;--;--;--;--;--;--;--;--;--;--;--
227850;Nuha Almarri;Nuha;Almarri;F;31;AE;32;All;0;164;65;null;null;02;Africa Middle East;Africa Middle East;Africa Middle East;ACT;0;AE;140.61353;102.0582;81.64656;161.02516;--;--;--;--;--;--;1:31;--
